Year,CrestFactorLow,CrestFactorMid,CrestFactorHigh,ChannelCorrelationLow,ChannelCorrelationMid,ChannelCorrelationHigh,RMSHigh,RMSMid,RMSLow,PhaseSpaceHigh,PhaseSpaceMid,PhaseSpaceLow,PeakMeterHigh,PeakMeterMid,PeakMeterLow
2003,11.60258859270976,15.501906670302583,19.509143945350168,0.8977444125898871,0.7688749111293467,0.7773548102590998,-33.514691539357194,-24.797434519617003,-29.722386909370744,0.028562549659552978,0.04301503871003332,0.026077560827367348,-14.00554759400703,-9.295527849314421,-18.119798316660983
2004,11.032459675836822,15.427978110443483,18.949508434234133,0.805767580751537,0.7640216904927075,0.7377043155495132,-35.7524779895049,-26.31191380490094,-29.88038361501517,0.02143921794362704,0.03662424430551621,0.027976946747783994,-16.80296955527076,-10.883935694457456,-18.847923939178347
2005,10.98325044226813,15.510849995787874,18.760432294273148,0.8291032404474089,0.7315520305281074,0.7272621698288594,-30.760609517141273,-23.706942161368247,-27.317321685678312,0.03365770150322082,0.04810127195067737,0.031815601102467665,-12.000177222868123,-8.196092165580373,-16.334071243410186
2006,11.226492948356205,15.555120440273052,19.539654069439624,0.763668215385958,0.7392342319910766,0.7202933569485945,-35.293893427061604,-25.04364839407995,-28.17154759975841,0.02483733130352058,0.04394748280136506,0.030688574474997413,-15.754239357621968,-9.488527953806898,-16.945054651402206
2007,11.03105936816407,15.34605910445995,19.025007733275526,0.8688724445610617,0.6919496888752238,0.6650745411655303,-33.43375634557404,-24.77129820546334,-26.50323690065291,0.027331138134551805,0.04245091362553582,0.03139453374615986,-14.40874861229852,-9.425239101003381,-15.472177532488846
2008,10.876093740833447,15.44354043375522,18.49622132356275,0.8261261234203611,0.6465535536866135,0.6427383778859295,-32.93321845124621,-25.106330573318584,-27.636609088488353,0.0287286095048257,0.04309840699510784,0.03111091517567453,-14.436997127683462,-9.662790139563363,-16.760515347654902
2009,10.895330976358524,15.183476172032613,18.569210402670038,0.9004502204703982,0.7319684741655831,0.6793623709490301,-33.73117770734983,-23.796073769281502,-24.294653082264343,0.02779284176924207,0.04609354588446421,0.03457205586653626,-15.161967304679795,-8.61259759724889,-13.399322105905819
2010,11.297180186245775,15.353527065955205,18.763462205838483,0.8037604586331653,0.6886635378718968,0.7228144280388618,-32.257908020979585,-24.360705498175268,-27.616852579675875,0.029798210236687925,0.04422501921593375,0.03164061411639099,-13.494445815141098,-9.007178432220057,-16.319672393430093
2011,10.610234529899053,14.836673875947023,18.22398107594053,0.829236754998613,0.6490456114315455,0.6226358573393053,-32.81446721935046,-22.905842689323627,-25.351154679009092,0.027864405549860426,0.05025983784447045,0.03312240785176295,-14.590486143409938,-8.069168813376606,-14.740920149110035
2012,11.418763124018438,14.936206020402922,19.05157416166577,0.8110922619096798,0.6702710744453965,0.6648293437266516,-33.33601326027222,-22.448826140612795,-26.148755332571422,0.029175167240733046,0.05225494277703401,0.03360673507474988,-14.28443909860645,-7.512620120209874,-14.729992208552988
2013,10.974105715583423,15.095594219819827,18.691983663968163,0.8736496992571152,0.6619398975573606,0.5924375007825191,-33.25760543217472,-23.03821489659594,-25.3157193708183,0.027936138800222436,0.05019564863042618,0.03569219842604341,-14.56562176820657,-7.942620676776118,-14.341613655234882
2014,10.909549220800548,15.178093297939773,18.73023002009459,0.8320855541523191,0.6029417936909873,0.5957620191910037,-33.14598289975396,-23.50788871467033,-25.681473519091888,0.028408170624784047,0.04779501757569144,0.03489549072567298,-14.415752879659365,-8.329795416730553,-14.771924298291342
2015,10.508801792499156,14.977945091239883,18.76598944638981,0.8593066427193735,0.6270517555115536,0.6185220750014377,-33.69277744311462,-23.442451004166518,-25.421136554642857,0.027562320394738826,0.04763563656833267,0.035518365882453905,-14.926787996724793,-8.464505912926638,-14.912334762143692
2016,10.572739479990824,15.024004721226696,18.961746905764805,0.8262655566323255,0.5454008504618185,0.5728708531553607,-35.61097257529893,-24.241169529210755,-26.62896452152449,0.02470574772354111,0.0442813374163657,0.03240153376717136,-16.649225669534133,-9.217164807984055,-16.056225041533658
2017,10.407292551049963,15.030200519829632,18.977642678071884,0.8521925324465514,0.5830010345200336,0.6137899415470559,-35.48442964694056,-23.805362205788544,-26.663132949517653,0.02541678056121472,0.04692192128305996,0.03456611997225195,-16.506786968868692,-8.775161685958892,-16.255840398467686
2018,10.543491442827921,15.004178770161769,19.261325527830255,0.8439830141946789,0.625240836944384,0.6476163608655535,-35.726101951178684,-23.64791182890036,-26.891060302792397,0.025648389385989723,0.04639076476270079,0.03501169380291614,-16.46477642334842,-8.643733058738581,-16.347568859964465
2019,10.607376525992402,14.948647099873469,19.54752119222254,0.8363018472193543,0.6413003145774994,0.6723593641764378,-37.45173769172105,-24.53214778544335,-28.979187623509834,0.023835323745988915,0.043241894410688465,0.03222933396365494,-17.904216499498528,-9.583500685569915,-18.3718110975174
2020,10.433827478342446,14.921792637875905,19.556552342696456,0.8302031499912589,0.627507551100679,0.6552925871343985,-37.77393642672543,-24.57864815992734,-28.271551771281345,0.023062014467458213,0.04257727007616289,0.03263659981170441,-18.21738408402897,-9.656855522051412,-17.837724292938876
2021,10.646721033787705,14.958986295310442,19.648883554612443,0.8623115724765816,0.6329720515497829,0.6493598333496698,-38.06753227027833,-24.803234546352808,-29.054205507855666,0.02273750003702905,0.04274459022901731,0.032168293623048155,-18.418648715665896,-9.844248251042346,-18.40748447406797
2022,10.596739542029203,14.946767421192574,19.631219719011245,0.8363216738386364,0.6288992352276974,0.6345392357455727,-37.307677880447734,-24.66954932430193,-27.88636741515284,0.023281395389886342,0.04297266867981188,0.033990293259426374,-17.67645816143647,-9.722781903109349,-17.28962787312363
2023,10.477376468021085,14.832133120571683,19.210575348354524,0.8072221246566318,0.57235513661069,0.5771578358406761,-37.5824470859592,-24.012757940768402,-27.144863966208952,0.021926221861252357,0.04471269102566105,0.03569598663144637,-18.37187173760467,-9.180624820196721,-16.667487498187857
2024,10.64853584532147,14.75969519585721,19.32717415714628,0.8347524936958554,0.5659476779750279,0.5988843599253485,-37.27255025636119,-23.974123196846907,-27.648369153259313,0.022406779364391165,0.04372711513760716,0.03364014710315649,-17.94537609921491,-9.214428000989692,-16.99983330793784
